Stations,Value_i_mean_sum,Value_o_mean_sum,Value_i_mean_max,Value_o_mean_max
松山,8479.669908635426,8099.616799292661,3100.380769230769,2885.976923076923
松山機場,1788.615001473622,2848.1145593869733,373.16153846153844,805
松江南京,5859.02437371058,24216.286987916297,1294.4,11581.48076923077
芝山,9655.485720601238,7659.461508989095,3204.5538461538463,2050.5615384615385
信義安和,4477.855982905983,8220.34864426761,1237.3115384615385,3275.35
南京三民,5948.2112290008845,12208.117712938403,1712.0192307692307,4671.253846153846
南京復興,7193.873150604185,23057.21019746537,1724.073076923077,10321.388461538461
南港,6293.937341585618,5869.932773356912,2086.369230769231,1489.1692307692308
南港展覽館,12856.02932508105,11624.597480106102,4045.346153846154,4266.6
南港軟體園區,868.5268936044798,3064.1576038903627,258.71923076923076,1602.4692307692308
南勢角,14313.009490126733,2995.477925139994,5328.723076923077,622.3615384615384
後山埤,7698.975213675214,4657.590583554377,2479.096153846154,1070.0423076923078
科技大樓,5129.429118773946,6267.522178013557,1670.8461538461538,2126.103846153846
紅樹林,4037.4533745947538,1959.126318891836,1354.503846153846,676.5923076923077
徐匯中學,7451.945431771294,1767.6862953138816,2689.276923076923,345.87307692307695
海山,13358.982684939581,3562.250751547303,4701.734615384616,1044.176923076923
迴龍,6334.406690244621,1742.416931918656,2337.9192307692306,440.53076923076924
動物園,2077.584188034188,3487.9333628057766,757.6076923076923,758.5692307692308
唭哩岸,4302.996802239905,1975.3067197170644,1380.9115384615384,609.1076923076923
國父紀念館,4493.820689655172,11187.948717948717,1085.173076923077,3829.346153846154
淡水,16200.13763631005,9942.291276156793,4907.611538461539,1996.8423076923077
頂埔,4235.510506926024,2405.263881520778,1431.4115384615384,839.7538461538461
頂溪,21320.88409961686,6321.1644120247565,7302.738461538462,1119.0961538461538
善導寺,4365.54115826702,13382.844444444445,1049.5961538461538,4654.288461538462
復興崗,2087.438107869142,840.1572649572649,673.7807692307692,281.82307692307694
景安,16071.459549071618,4414.793383436487,5645.534615384616,1156.1115384615384
景美,7348.490259357501,4674.870203359858,2328.223076923077,1129.6615384615384
港墘,3820.226363100501,9320.183863837312,1223.3,4203.496153846154
菜寮,5743.452873563218,2175.92897141173,1955.9576923076922,547.4461538461538
象山,3933.838594164456,5087.107780725022,1244.376923076923,1933.1846153846154
圓山,10400.201252578838,9965.895829649278,2776.226923076923,2666.9615384615386
新北投,1756.246065428824,2200.426834659593,396.05384615384617,411.41923076923075
新店,6896.752446212791,2933.55956380784,2342.673076923077,659.4653846153847
新店區公所,6545.5992631889185,2211.2981727085175,2267.3423076923077,557.7807692307692
新埔,23157.214750957854,8232.584070144416,8059.8538461538465,1982.9153846153847
新莊,6215.137356321839,2172.91299734748,2333.15,676.6
萬芳社區,1692.3958885941645,341.4728116710875,667.2,105.35384615384615
萬芳醫院,7188.84936634247,4559.010182729148,2524.9192307692306,1141.3538461538462
萬隆,5612.829413498379,1755.9370910698497,1942.0307692307692,393.52307692307693
葫洲,4312.699292661361,2241.6260241674036,1425.7346153846154,648.6576923076923
輔大,3759.1566312997347,4179.405349248453,1182.5615384615385,1070.5692307692307
劍南路,2751.7278809313293,4270.210683760683,901.1192307692307,1246.6153846153845
劍潭,9852.389920424403,11245.291379310345,2358.7346153846156,2930.9846153846156
頭前庄,2531.218744473917,1241.8297966401415,960.8923076923077,369.5269230769231
龍山寺,13507.1236368995,7893.422443265547,3595.5576923076924,1478.4192307692308
雙連,6195.401591511936,11903.35271146478,1221.6692307692308,3750.0615384615385
關渡,4580.733952254642,6062.005835543767,1074.303846153846,1912.2384615384615
蘆洲,9382.499160035366,1463.3207780725022,3342.376923076923,291.17692307692306
麟光,2613.6261420571764,771.5994252873563,905.5769230769231,174.40384615384616
